pago_id,metodo_pago,total,descuento,copago,fecha_pago,estado_pago
1,Efectivo,808.11,231.03,17.42,2023-06-12,Anulado
2,Tarjeta,524.72,119.38,45.67,2024-10-12,Anulado
3,Efectivo,858.41,160.28,68.19,2024-03-23,Pagado
4,Seguro,953.98,162.56,78.33,2024-08-04,Pagado
5,Tarjeta,233.97,275.58,85.09,2023-10-14,Pagado
6,Tarjeta,1010.35,162.68,97.5,2024-03-10,Anulado
7,Transferencia,785.67,87.56,13.0,2024-09-10,Anulado
8,Transferencia,1276.9,182.92,55.35,2023-07-02,Pagado
9,Efectivo,461.17,135.56,54.57,2024-07-26,Pendiente
10,Efectivo,1058.16,132.42,35.69,2023-11-09,Pagado
11,Tarjeta,1348.03,120.5,39.05,2024-05-10,Pagado
12,Tarjeta,88.02,184.67,27.49,2024-12-04,Pagado
13,Efectivo,1093.14,199.11,46.14,2025-03-14,Anulado
14,Seguro,607.49,44.98,62.36,2023-06-13,Pendiente
15,Seguro,1091.88,46.17,83.41,2024-03-29,Pendiente
16,Tarjeta,766.17,224.93,79.05,2023-05-13,Anulado
17,Transferencia,1038.27,0.2,64.35,2025-03-30,Anulado
18,Tarjeta,584.59,208.65,88.3,2024-10-22,Anulado
19,Transferencia,1145.57,117.05,72.77,2024-11-04,Pendiente
20,Seguro,875.33,9.19,12.48,2024-08-10,Pendiente
21,Tarjeta,1178.65,102.79,37.45,2023-10-30,Pendiente
22,Tarjeta,1404.63,117.95,59.36,2024-06-26,Pagado
23,Tarjeta,561.88,244.57,29.42,2025-04-08,Anulado
24,Tarjeta,969.23,39.93,53.27,2023-11-08,Anulado
25,Transferencia,1194.83,249.09,22.22,2024-04-22,Pagado
26,Efectivo,543.27,49.33,7.96,2025-01-19,Anulado
27,Transferencia,320.57,228.45,72.24,2025-03-28,Pendiente
28,Tarjeta,1375.23,103.01,16.77,2023-09-18,Anulado
29,Tarjeta,635.29,176.74,86.83,2024-05-21,Pagado
30,Transferencia,818.12,234.5,37.01,2024-05-24,Pagado
31,Efectivo,861.9,117.37,36.58,2024-12-28,Anulado
32,Seguro,802.46,286.88,94.96,2024-04-01,Anulado
33,Transferencia,72.67,96.13,48.78,2024-12-11,Anulado
34,Transferencia,1246.05,67.26,19.42,2023-10-19,Anulado
35,Efectivo,1322.74,268.16,82.43,2023-12-03,Pagado
36,Efectivo,1375.13,179.7,16.48,2025-02-10,Pagado
37,Transferencia,893.87,80.74,3.77,2023-10-23,Pendiente
38,Tarjeta,622.07,26.46,29.36,2024-05-07,Pagado
39,Transferencia,1250.02,60.69,21.66,2024-01-16,Pagado
40,Transferencia,948.1,64.34,41.95,2023-07-27,Anulado
41,Efectivo,395.32,127.88,85.16,2023-05-28,Pagado
42,Efectivo,1441.71,79.73,84.66,2023-05-25,Anulado
43,Efectivo,461.04,230.93,8.71,2023-12-06,Pendiente
44,Tarjeta,712.12,184.72,94.8,2024-02-23,Pagado
45,Seguro,864.15,181.52,83.49,2023-11-13,Pendiente
46,Efectivo,443.94,38.93,84.47,2024-12-11,Anulado
47,Transferencia,633.18,267.06,93.52,2024-10-04,Anulado
48,Seguro,653.32,286.66,86.4,2024-10-19,Anulado
49,Seguro,1198.83,134.93,44.22,2024-08-16,Pendiente
50,Tarjeta,250.42,211.83,51.02,2024-07-01,Anulado
51,Transferencia,834.96,101.86,58.83,2024-08-27,Pendiente
52,Transferencia,1192.03,252.47,28.8,2023-09-25,Anulado
53,Tarjeta,491.59,184.31,11.87,2024-04-24,Pagado
54,Seguro,1478.81,7.62,93.26,2025-01-16,Pagado
55,Efectivo,112.17,240.49,37.25,2023-09-18,Pagado
56,Tarjeta,155.48,70.93,64.27,2024-07-10,Pagado
57,Transferencia,1309.3,20.77,0.56,2024-05-21,Pendiente
58,Seguro,98.99,61.23,63.3,2023-11-29,Anulado
59,Tarjeta,1038.89,85.17,28.44,2025-04-22,Anulado
60,Seguro,609.45,185.99,71.67,2024-01-07,Pagado
61,Seguro,1446.49,207.11,93.67,2023-05-21,Pendiente
62,Seguro,1353.36,236.65,71.94,2025-01-20,Pendiente
63,Seguro,267.07,1.91,36.63,2025-03-21,Anulado
64,Tarjeta,1382.9,86.37,94.97,2023-10-18,Pagado
65,Tarjeta,1217.81,51.86,54.34,2024-01-10,Pagado
66,Tarjeta,326.11,18.87,20.02,2025-04-15,Pagado
67,Efectivo,959.02,187.22,5.9,2025-02-16,Anulado
68,Efectivo,1333.95,155.88,41.54,2023-10-03,Pendiente
69,Tarjeta,345.74,165.82,34.5,2025-04-28,Anulado
70,Tarjeta,1162.06,121.21,70.62,2025-04-29,Anulado
71,Seguro,306.56,54.2,35.01,2025-04-17,Pendiente
72,Transferencia,427.49,291.99,56.2,2024-06-18,Pendiente
